Date,RegionName,InventoryRaw_AllHomes,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio
2016-02-29,Alaska,2838,120000,185000,276900,364400,450000,274500,210000,385000,285000,2.25762045758266,2.66287526493942,2.20001586797842,5950,5049.5,6000,900,1250,1695,2075,,1675,1500,1300,1250,1750,
2016-02-29,Arizona,32697,73900,153900,216020,315245,467990,249000,163000,209500,259900,2.34192037470726,2.92682926829269,2.28198875847248,5900,5000,6000,825,950,1175,1295,,1250,1200,725,1000,1295,1275
2016-02-29,Arkansas,16460,98500,87000,134000,244900,329000,149900,149900,159900,149900,3.57142857142857,,3.57206655438166,5000,,5000,601,659,927,1500,,1000,,600,675,1000,1000
2016-02-29,California,62994,295000,329000,409888,549900,8E+05,449900,405000,580000,460000,2.98507462686567,3.02013422818792,2.98278899082569,11600,10000,12500,1855,2195,2375,2550,2995,2350,2400,1875,2099,2300,1732
2016-02-29,Colorado,17470,229000,275000,330000,474900,629900,365000,302128,351000,375000,2.72479564032697,3.43347639484979,2.66666666666666,10000,14000,10000,1300,1545,1795,2200,2350,1695,1500,1347.5,1425,1795,1100
2016-02-29,Connecticut,18903,127000,179900,249000,399900,599000,279900,189900,179900,299900,4.00320256204964,3.84911470361817,4.01606425702812,10000,7000,10000,1225,1400,1800,2100,,1700,1475,1175,1300,1875,1162.5
2016-02-29,Delaware,6462,135000,175450,239990,344888,587500,265000,257700,,265900,3.34448160535117,3.7940379403794,3.33444481493831,9100,10000,9100,910,1100,1300,1775,,1300,1100,950,999.5,1312.5,
2016-02-29,DistrictofColumbia,1026,369900,565000,586500,749225,1395000,509000,425000,,625000,3.63616881725318,3.44505126307261,3.7290271071421,19635,14950,20000,2180,2925,3100,3150,,2580,2400,,2250,3000,1750
2016-02-29,Florida,141150,135000,169999,235900,335000,525000,249950,229900,255000,259000,3.33444481493831,3.78071833648393,3.17049553779399,10000,9900,10000,1350,1595,1700,2000,2800,1745,1850,1575,1610,1650,1600
2016-02-29,Georgia,52218,139900,125000,149900,259900,380243,195000,189900,,196900,3.33333333333333,3.01003344481605,3.33444481493831,6000,5000,6000,1110,1095,1095,1450,1864.5,1175,1200,,1182,1150,1175
2016-02-29,Hawaii,7867,345000,469700,579000,795000,965000,535000,424950,780000,639000,3.5992159346368,3.36754385964912,3.8492435442777,20000,14000,20000,1695,2195,2500,2900,2597.5,2300,2100,,2000,2500,1350
2016-02-29,Idaho,9124,155000,157900,207540,259058,329900,225572,249956,195350,225000,2.57861635220126,3.57398141529665,2.56686364166817,5000,5000,5000,597.5,695,1050,1280,,1025,,725,695,1045,
2016-02-29,Illinois,51007,110950,130000,169900,299087.5,349900,189000,189900,159000,187000,3.35483870967742,3.44887059747118,3.33889816360601,6000,6000,6000,1611,1600,1650,1850,,1575,1650,1800,1600,1500,1495
2016-02-29,Indiana,26541,63500,74900,127500,224900,299900,130900,124900,72500,132500,3.35483870967742,2.9563025210084,3.40136054421769,5000,4000,5000,670,750,999,1250,,925,1000,620,795,900,1000
2016-02-29,Iowa,10868,,107900,159900,250000,348000,149900,160000,134500,149900,3.2,2.51778778934286,3.22788896061975,5000,3000,5000,727.5,850,1145,,,1100,1020,825,825,1125,750
2016-02-29,Kansas,9132,50900,71000,129500,235000,315000,149900,,135000,149900,3.39684958025984,,3.38983050847458,5000,,5000,625,750,1095,1400,,1097,,750,750,1100,
2016-02-29,Kentucky,16750,87699.5,105000,144900,248550,327500,149999,142000,130000,150000,3.23387096774194,2.47178295958784,3.29032258064517,5000,4000,5000,725,775,1000,1495,,995,989.5,695,781,995,899.5
